emp_id,status,location,level,gender,emp_age,rating,mgr_rating,mgr_reportees,mgr_age,mgr_tenure,compensation,percent_hike,hiring_score,hiring_source,no_previous_companies_worked,distance_from_home,total_dependents,marital_status,education,promotion_last_2_years,no_leaves_taken,total_experience,monthly_overtime_hrs,date_of_joining,last_working_date,department,mgr_id,cutoff_date,turnover,mgr_effectiveness,career_satisfaction,perf_satisfaction,work_satisfaction
E10105,Active,Orlando,Specialist,Male,32.77,Excellent,Above Average,15,37.5,15.05,103740,16,66,Job Boards,3,11,3,Single,Bachelors,Yes,7,14.25,6,12/07/2006,NA,Customer Operations,E11047,31/12/2014,0,0.602,0.93,0.83,0.82
E10107,Active,New York,Analyst,Male,35.79,Acceptable,Above Average,16,30.08,3.34,57216,9,70,Job Fairs,7,7,4,Single,Bachelors,No,5,13.86,4,18/06/2008,NA,Customer Operations,E80,31/12/2014,0,0.574,0.8,0.93,0.84
E10130,Active,Chicago,Analyst,Male,42.08,Acceptable,Above Average,9,31.91,2.09,137004,8,71,Walk-In,7,19,3,Single,Bachelors,No,12,20.64,4,23/12/2009,NA,Customer Operations,E1171,31/12/2014,0,0.83,0.9,0.8,0.82
E10132,Inactive,Orlando,Analyst,Female,27.83,Acceptable,Acceptable,19,27.28,4.7,47064,5,70,Walk-In,4,27,4,Single,Masters,No,20,5.7,15,07/11/2009,07/08/2014,Customer Operations,E2795,31/12/2014,1,0.644,0.95,0.95,0.88
E10147,Active,Orlando,Analyst,Male,27.39,Excellent,Above Average,9,30.5,1.56,62472,17,72,Job Fairs,6,9,4,Single,Bachelors,No,0,7.11,7,10/03/2011,NA,Customer Operations,E1629,31/12/2014,0,0.84,0.57,1,0.86
E10153,Active,Orlando,Analyst,Male,28.36,Above Average,Acceptable,15,37.2,9.58,68328,11,72,Social Media,4,25,4,Single,Bachelors,No,19,9.7,4,18/06/2008,NA,Customer Operations,E9906,31/12/2014,0,0.77,0.75,0.75,0.83
E10156,Active,Orlando,Analyst,Male,37.39,Acceptable,Above Average,10,33.48,12.16,54132,7,72,Consultant,1,21,8,Married,Bachelors,No,8,16.15,5,11/06/2008,NA,Customer Operations,E13975,31/12/2014,0,0.35,0.4,0.4,0.92
E10158,Active,Orlando,Analyst,Male,26.64,Acceptable,Below Average,10,34.81,2.61,71076,7,71,Employee Referral,0,20,2,Single,Bachelors,No,24,9,0,09/11/2011,NA,Customer Operations,E3332,31/12/2014,0,0.59,0.79,0.46,0.57
E1016,Active,Orlando,Analyst,Male,31.92,Acceptable,Acceptable,16,36.92,7.89,44364,13,70,Walk-In,3,20,2,Single,Bachelors,No,7,8.26,1,18/11/2009,NA,Customer Operations,E13735,31/12/2014,0,0.9,0.9,0.95,0.91
E10181,Active,Chicago,Analyst,Male,25.29,Acceptable,Acceptable,6,32.98,9.72,38400,9,70,Employee Referral,4,13,5,Single,Bachelors,No,10,6.58,1,04/07/2012,NA,Customer Operations,E12308,31/12/2014,0,0.56,0.5,0.5,0.73
E10190,Inactive,New York,Specialist,Female,38.68,Above Average,Acceptable,23,33.21,8.04,143448,6,70,Consultant,6,13,2,Married,Bachelors,Yes,1,18.06,11,16/08/2012,06/07/2014,Customer Operations,E6707,31/12/2014,1,0.455,0.57,0.71,0.82
E10195,Active,New York,Analyst,Male,28.12,Acceptable,Above Average,16,30.08,3.34,42168,12,71,Walk-In,5,22,3,Single,Bachelors,No,2,5.4,6,22/06/2011,NA,Customer Operations,E80,31/12/2014,0,0.574,0.8,0.93,0.84
E10196,Active,Chicago,Analyst,Male,37.11,Above Average,Acceptable,9,38.77,2.15,82728,15,84,Job Fairs,7,7,8,Married,Bachelors,No,14,11.21,10,12/07/2006,NA,Customer Operations,E12620,31/12/2014,0,0.67,0.67,0.67,0.78
E10197,Active,Orlando,Analyst,Male,30.66,Acceptable,Below Average,10,44.29,13.76,79380,13,68,Consultant,8,16,8,Married,Bachelors,No,4,6.5,9,28/06/2006,NA,Customer Operations,E2359,31/12/2014,0,0.61,0.73,0.45,0.85
E10213,Active,Chicago,Analyst,Male,25.4,Acceptable,Above Average,11,31.38,8.94,42264,14,73,Job Fairs,4,20,4,Single,Bachelors,Yes,15,6.65,3,31/07/2011,NA,Customer Operations,E8017,31/12/2014,0,0.81,0.86,0.86,0.89
E10222,Active,Orlando,Analyst,Male,30.13,Excellent,Acceptable,17,31.23,9.19,64524,14,70,Consultant,8,25,5,Single,Bachelors,No,11,9.84,6,07/11/2009,NA,Customer Operations,E3249,31/12/2014,0,0.69,0.63,0.68,0.8
E10240,Active,Chicago,Analyst,Female,27.18,Above Average,Below Average,14,41.68,13.2,53220,15,73,Walk-In,6,10,6,Married,Bachelors,No,17,4.95,6,31/08/2011,NA,Customer Operations,E4306,31/12/2014,0,0.6,0.58,0.59,0.87
E10255,Active,New York,Analyst,Male,38.52,Acceptable,Acceptable,5,33.82,4.11,69816,7,71,Social Media,2,10,2,Married,Bachelors,No,15,12.39,5,27/10/2004,NA,Customer Operations,E8883,31/12/2014,0,0.8,0.85,0.92,0.84
E10258,Inactive,Chicago,Analyst,Male,36.23,Acceptable,Acceptable,11,46.53,14.42,67068,8,73,Company Website,9,21,7,Married,Bachelors,No,13,10.62,7,22/09/2004,07/08/2014,Customer Operations,E8116,31/12/2014,1,0.52,0.63,0.44,0.8
E10262,Inactive,Orlando,Analyst,Female,29.67,Acceptable,Above Average,22,33.72,3.57,42276,8,72,Social Media,3,40,5,Single,Bachelors,No,11,10.68,0,07/11/2009,09/01/2014,Customer Operations,E2339,31/12/2014,1,0.76,0.82,0.79,0.94
E10268,Inactive,New York,Analyst,Female,31.41,Below Average,Excellent,22,28.3,4.13,47544,6,71,Employee Referral,2,14,5,Married,Bachelors,No,28,10.27,8,02/11/2011,19/02/2014,Customer Operations,E9747,31/12/2014,1,0.56,0.86,0.77,0.91
E10274,Inactive,Orlando,Analyst,Male,25.39,Acceptable,Above Average,19,33.18,3.89,37680,7,70,Job Boards,7,36,5,Single,Bachelors,No,11,5.67,5,31/08/2011,20/03/2014,Customer Operations,E8074,31/12/2014,1,0.385,0.85,0.54,0.53
E10286,Active,Chicago,Analyst,Male,29.03,Above Average,Below Average,14,41.68,13.2,66744,15,73,Employee Referral,5,16,2,Single,Bachelors,No,4,10.89,10,22/10/2011,NA,Customer Operations,E4306,31/12/2014,0,0.6,0.58,0.59,0.87
E10298,Active,Chicago,Specialist,Male,28.78,Excellent,Excellent,4,35.99,7.92,50244,15,70,Employee Referral,3,14,3,Single,Bachelors,Yes,1,7.92,8,09/10/2009,NA,Customer Operations,E6655,31/12/2014,0,0.581,0.72,0.84,0.85
E10309,Active,Chicago,Specialist,Male,34.77,Above Average,Acceptable,15,38.03,4.87,96336,13,72,Walk-In,6,16,5,Single,Bachelors,Yes,0,9.18,2,06/01/2010,NA,Customer Operations,E11147,31/12/2014,0,0.7,0.62,0.79,0.91
E1031,Inactive,Chicago,Analyst,Female,22.42,Acceptable,Acceptable,17,33.8,8.16,35892,7,72,Company Website,3,28,6,Single,Bachelors,No,19,3.56,12,09/03/2012,05/06/2014,Customer Operations,E10524,31/12/2014,1,0.609,0.91,0.88,0.84
E10311,Active,Orlando,Analyst,Male,26.68,Above Average,Acceptable,6,28.57,7.33,57564,15,70,Walk-In,8,17,5,Single,Bachelors,No,23,8.1,4,13/03/2010,NA,Customer Operations,E12498,31/12/2014,0,0.532,0.88,0.88,0.97
E10315,Inactive,Chicago,Analyst,Male,24.56,Acceptable,Above Average,10,35.31,10.96,36216,8,73,Social Media,4,32,7,Single,Bachelors,No,19,4.34,13,18/04/2012,16/09/2014,Customer Operations,E9182,31/12/2014,1,0.77,0.9,0.71,0.84
E10319,Active,Orlando,Specialist,Male,26.76,Excellent,Acceptable,10,33.59,1.83,84036,17,75,Job Fairs,1,7,5,Single,Bachelors,Yes,23,6.48,4,07/11/2009,NA,Customer Operations,E1228,31/12/2014,0,0.623,0.91,0.91,0.91
E10330,Active,New York,Analyst,Male,31.92,Excellent,Acceptable,17,33.51,3.28,51504,15,75,Company Website,6,25,4,Single,Bachelors,No,17,7.7,5,07/12/2011,NA,Customer Operations,E3120,31/12/2014,0,0.609,1,0.78,0.9
E10333,Inactive,Orlando,Analyst,Male,25.94,Below Average,Above Average,15,29.21,8.12,35412,2,70,Consultant,1,38,5,Single,Bachelors,No,25,6.96,11,23/11/2011,30/01/2014,Customer Operations,E5579,31/12/2014,1,0.392,0.43,0.57,0.86
E10345,Active,New York,Analyst,Female,26.79,Acceptable,Acceptable,12,37.75,8.1,52116,10,71,Social Media,2,14,2,Single,Bachelors,No,8,5.76,8,29/08/2012,NA,Customer Operations,E1614,31/12/2014,0,0.43,0.57,0.43,0.57
E1035,Active,Chicago,Analyst,Female,24.95,Excellent,Excellent,21,29.99,1.61,53592,12,74,Consultant,2,7,5,Single,Bachelors,No,13,3.99,7,18/05/2012,NA,Customer Operations,E2285,31/12/2014,0,0.89,0.87,0.93,0.95
E10358,Inactive,Chicago,Analyst,Female,23.55,Acceptable,Above Average,24,32.68,7,35556,8,73,Company Website,2,19,6,Single,Bachelors,No,9,3.48,12,24/07/2011,02/06/2014,Customer Operations,E10863,31/12/2014,1,0.581,0.83,0.83,0.81
E10379,Active,Orlando,Specialist,Male,28.48,Excellent,Acceptable,18,29.41,8.18,61308,19,72,Social Media,5,20,2,Single,Bachelors,Yes,23,7.7,5,07/11/2009,NA,Customer Operations,E9308,31/12/2014,0,0.511,0.89,0.67,0.95
E1039,Active,Chicago,Analyst,Female,26.95,Above Average,Acceptable,17,29.28,2.84,51396,11,70,Employee Referral,4,10,4,Single,Bachelors,Yes,12,6.93,3,08/10/2010,NA,Customer Operations,E9185,31/12/2014,0,0.94,0.88,1,0.93
E10394,Active,Orlando,Analyst,Male,25.1,Acceptable,Excellent,16,39.77,1.24,39336,11,75,Job Fairs,2,23,3,Single,Bachelors,No,10,4.55,2,04/01/2012,NA,Customer Operations,E13928,31/12/2014,0,0.623,0.92,0.85,0.86
E10404,Active,Chicago,Analyst,Female,25.2,Acceptable,Acceptable,19,37.33,10.05,45180,7,70,Social Media,2,20,4,Single,Bachelors,No,14,5.25,3,05/11/2011,NA,Customer Operations,E4051,31/12/2014,0,0.94,0.95,0.95,0.94
E10412,Active,Chicago,Specialist,Male,27.06,Acceptable,Above Average,17,34.09,11.3,60300,10,73,Employee Referral,3,25,3,Single,Bachelors,Yes,13,6.66,10,21/10/2009,NA,Customer Operations,E1003,31/12/2014,0,0.76,0.76,0.71,0.82
E10431,Active,Orlando,Analyst,Male,35.62,Acceptable,Acceptable,14,33.71,12.47,67332,9,70,Consultant,7,11,8,Married,Bachelors,No,16,16.74,5,14/03/2007,NA,Customer Operations,E3643,31/12/2014,0,0.49,0.82,0.71,0.58
E10447,Active,New York,Analyst,Male,39.48,Acceptable,Acceptable,15,35.56,2.17,86136,9,71,Job Fairs,5,7,7,Married,Bachelors,No,4,13.23,1,29/03/2012,NA,Customer Operations,E5095,31/12/2014,0,0.609,0.8,1,0.85
E10448,Active,Orlando,Specialist,Male,36.92,Below Average,Acceptable,7,34.31,10.55,78180,6,70,Company Website,0,14,9,Married,Bachelors,Yes,19,16.34,3,16/10/2002,NA,Customer Operations,E6187,31/12/2014,0,0.87,0.97,0.81,0.91
E10460,Active,Orlando,Specialist,Male,35.17,Acceptable,Above Average,22,30.4,3.02,86220,11,81,Employee Referral,4,14,8,Married,Bachelors,Yes,13,8.84,7,01/12/2004,NA,Customer Operations,E8767,31/12/2014,0,0.73,0.8,0.6,0.92
E10462,Active,Orlando,Specialist,Male,34.19,Above Average,Acceptable,8,42.74,12.51,52944,14,70,Employee Referral,0,23,2,Single,Bachelors,Yes,6,10.4,7,06/07/2011,NA,Customer Operations,E9550,31/12/2014,0,0.78,0.6,0.8,0.88
E10470,Active,Chicago,Specialist,Male,27.77,Excellent,Acceptable,11,26.68,6.58,58140,14,70,Company Website,5,5,2,Single,Bachelors,Yes,15,6.2,2,09/10/2009,NA,Customer Operations,E12073,31/12/2014,0,0.67,0.71,0.65,0.87
E10473,Active,Orlando,Analyst,Male,27.38,Acceptable,Acceptable,17,35.14,11.34,45528,13,70,Consultant,1,8,5,Single,Bachelors,No,21,8.46,6,03/02/2010,NA,Customer Operations,E3555,31/12/2014,0,0.76,0.85,0.65,0.9
E10478,Active,Orlando,Analyst,Male,26.18,Acceptable,Above Average,9,30.5,1.56,65208,9,73,Job Boards,3,10,2,Single,Bachelors,No,19,5.28,1,19/09/2012,NA,Customer Operations,E1629,31/12/2014,0,0.84,0.57,1,0.86
E10482,Active,Orlando,Analyst,Male,25.94,Above Average,Excellent,16,39.77,1.24,42720,12,73,Employee Referral,3,20,3,Single,Bachelors,No,24,7.76,9,25/01/2012,NA,Customer Operations,E13928,31/12/2014,0,0.623,0.92,0.85,0.86
E10484,Active,New York,Analyst,Male,34.82,Above Average,Excellent,13,33.81,10.13,53184,14,70,Employee Referral,5,13,5,Single,Bachelors,No,9,13.09,5,13/01/2010,NA,Customer Operations,E763,31/12/2014,0,0.95,1,1,0.84
E10486,Inactive,Chicago,Analyst,Male,24.36,Above Average,Acceptable,16,26.44,6.28,38640,9,72,Company Website,7,23,9,Single,Bachelors,No,17,6,4,17/02/2012,03/04/2014,Customer Operations,E11816,31/12/2014,1,0.595,0.75,0.85,0.85
E10489,Active,New York,Analyst,Male,27.47,Acceptable,Acceptable,5,33.82,4.11,46464,13,77,Job Fairs,7,10,4,Single,Bachelors,No,1,6.39,4,04/05/2011,NA,Customer Operations,E8883,31/12/2014,0,0.8,0.85,0.92,0.84
E10496,Active,Orlando,Analyst,Male,32.31,Above Average,Above Average,18,33.66,8.12,56580,15,70,Company Website,5,21,4,Single,Bachelors,No,19,13.16,2,31/08/2011,NA,Customer Operations,E7321,31/12/2014,0,0.75,0.74,0.89,0.77
E10497,Active,New York,Analyst,Male,30.15,Acceptable,Excellent,9,42.9,2.63,55716,13,70,Job Fairs,3,17,4,Single,Bachelors,No,7,9.36,2,01/02/2012,NA,Customer Operations,E1854,31/12/2014,0,0.74,0.75,0.63,0.78
E10498,Active,Chicago,Analyst,Male,26.8,Acceptable,Acceptable,9,33.33,1.6,54096,8,73,Social Media,5,18,3,Single,Bachelors,Yes,6,8.82,3,04/08/2010,NA,Customer Operations,E12038,31/12/2014,0,0.65,0.6,0.8,0.6
E10502,Inactive,Chicago,Analyst,Male,25.18,Acceptable,Excellent,12,38.38,8.21,39840,12,70,Job Boards,2,21,4,Single,Bachelors,No,31,5.6,6,18/08/2011,19/06/2014,Customer Operations,E162,31/12/2014,1,0.588,0.83,0.83,0.73
E10504,Active,Orlando,Analyst,Male,33.44,Above Average,Acceptable,13,30.5,2.04,87948,15,75,Employee Referral,1,18,5,Married,Masters,No,16,9.6,8,06/07/2012,NA,Customer Operations,E12855,31/12/2014,0,0.66,0.84,0.68,0.76
E10506,Active,Orlando,Analyst,Male,33.19,Acceptable,Above Average,8,39.38,11.4,76188,14,70,Walk-In,1,23,5,Single,Bachelors,No,24,8.7,3,30/05/2012,NA,Customer Operations,E10081,31/12/2014,0,0.8,0.82,0.73,0.84
E10509,Active,Chicago,Specialist,Male,34.24,Excellent,Acceptable,11,32.78,1.13,87420,17,69,Social Media,4,14,6,Married,Bachelors,Yes,13,10.72,4,12/07/2006,NA,Customer Operations,E10774,31/12/2014,0,0.93,1,0.91,0.93
E10510,Active,Orlando,Analyst,Male,30.86,Below Average,Acceptable,11,32.3,10.8,87912,6,74,Job Fairs,9,25,5,Single,Bachelors,No,9,11.57,6,06/07/2012,NA,Customer Operations,E11912,31/12/2014,0,0.62,0.67,0.6,0.68
E10513,Inactive,Orlando,Analyst,Male,30.04,Below Average,Acceptable,17,41.81,12.15,51156,3,70,Social Media,6,21,9,Single,Masters,No,30,7.32,4,07/11/2009,02/10/2014,Customer Operations,E8192,31/12/2014,1,0.623,0.92,0.92,0.88
E10517,Active,Chicago,Specialist,Male,27.56,Above Average,Acceptable,15,31.3,8.29,66168,13,70,Job Fairs,3,10,3,Single,Bachelors,Yes,12,6.4,7,23/09/2009,NA,Customer Operations,E4030,31/12/2014,0,0.77,0.86,0.73,0.79
E10529,Active,Orlando,Analyst,Male,24.99,Excellent,Above Average,13,29.76,9.54,65628,10,74,Job Fairs,7,8,4,Single,Bachelors,No,17,4.69,8,06/07/2011,NA,Customer Operations,E9218,31/12/2014,0,0.69,0.75,0.67,0.73
E1053,Active,Orlando,Specialist,Female,34.6,Acceptable,Below Average,6,36.44,1.12,97296,11,75,Social Media,8,21,8,Married,Bachelors,Yes,10,14.28,1,11/01/2012,NA,Customer Operations,E88,31/12/2014,0,0.72,0.77,0.7,0.84
E10536,Active,Orlando,Specialist,Female,37.79,Acceptable,Above Average,9,30.5,1.56,81492,8,73,Social Media,1,6,3,Married,Bachelors,Yes,9,18,5,15/06/2002,NA,Customer Operations,E1629,31/12/2014,0,0.84,0.57,1,0.86
E10550,Active,Orlando,Analyst,Male,25.68,Above Average,Acceptable,16,36.92,7.89,45336,12,73,Consultant,4,25,5,Single,Bachelors,No,3,4.16,5,29/06/2011,NA,Customer Operations,E13735,31/12/2014,0,0.9,0.9,0.95,0.91
E10563,Active,Orlando,Analyst,Female,30.75,Below Average,Acceptable,8,42.74,12.51,47304,4,70,Walk-In,0,6,5,Single,Bachelors,No,18,6.76,9,17/02/2010,NA,Customer Operations,E9550,31/12/2014,0,0.78,0.6,0.8,0.88
E10567,Active,Orlando,Analyst,Male,31.54,Above Average,Above Average,13,26.56,4.5,89424,10,71,Company Website,9,21,3,Single,Bachelors,No,11,8.12,0,06/07/2012,NA,Customer Operations,E12128,31/12/2014,0,0.66,0.62,0.77,0.82
E10573,Active,Chicago,Analyst,Male,27.91,Acceptable,Above Average,13,35.39,11.34,46980,9,70,Job Boards,8,6,3,Single,Bachelors,Yes,12,7.3,9,09/07/2010,NA,Customer Operations,E9097,31/12/2014,0,0.84,0.85,0.85,0.84
E10589,Active,Chicago,Analyst,Male,24.14,Acceptable,Acceptable,15,32.58,2.38,43416,12,73,Company Website,7,7,3,Single,Bachelors,No,4,4.2,3,18/02/2012,NA,Customer Operations,E1454,31/12/2014,0,0.35,0.31,0.44,0.94
E10605,Active,Chicago,Analyst,Male,22.89,Excellent,Excellent,4,35.99,7.92,43164,18,73,Company Website,2,15,5,Single,Bachelors,No,9,3.45,2,22/03/2012,NA,Customer Operations,E6655,31/12/2014,0,0.581,0.72,0.84,0.85
E10608,Active,Chicago,Analyst,Male,27.04,Acceptable,Acceptable,13,25.44,4.32,53556,8,70,Walk-In,5,19,3,Single,Bachelors,No,4,7.56,6,23/07/2010,NA,Customer Operations,E2106,31/12/2014,0,0.7,0.6,0.73,0.78
E10610,Inactive,Orlando,Specialist,Male,25.52,Acceptable,Above Average,9,35.54,4.21,65400,7,73,Consultant,2,28,6,Single,Bachelors,Yes,23,6.56,15,28/09/2011,11/12/2014,Customer Operations,E1149,31/12/2014,1,0.75,0.76,0.74,0.95
E10616,Active,Orlando,Analyst,Male,34.74,Acceptable,Acceptable,11,34.28,12.95,76464,11,71,Social Media,0,15,5,Married,Bachelors,No,12,14.79,1,11/04/2012,NA,Customer Operations,E5663,31/12/2014,0,0.71,0.78,0.67,0.8
E10619,Active,Orlando,Analyst,Male,36.74,Acceptable,Above Average,22,33.72,3.57,70452,9,74,Employee Referral,4,7,2,Single,Bachelors,No,24,13.49,6,20/04/2005,NA,Customer Operations,E2339,31/12/2014,0,0.76,0.82,0.79,0.94
E10620,Active,Chicago,Specialist,Female,26.52,Acceptable,Above Average,14,32.96,10.51,57048,7,73,Walk-In,9,23,2,Single,Bachelors,Yes,4,5.76,7,26/05/2010,NA,Customer Operations,E73,31/12/2014,0,0.98,1,1,0.96
E10633,Active,Chicago,Analyst,Female,28.65,Acceptable,Above Average,14,27.05,6.58,52824,12,72,Social Media,3,18,8,Married,Bachelors,No,15,8.03,5,22/10/2010,NA,Customer Operations,E77,31/12/2014,0,0.98,1,1,0.93
E10634,Active,Chicago,Analyst,Female,28.13,Acceptable,Acceptable,17,27.95,2.38,53484,11,73,Walk-In,8,9,2,Married,Bachelors,No,7,7.7,8,30/03/2012,NA,Customer Operations,E783,31/12/2014,0,0.51,0.5,0.21,0.76
E10635,Active,Orlando,Specialist,Male,32.05,Excellent,Above Average,12,33.95,11.65,105732,10,75,Job Boards,6,5,2,Single,Bachelors,Yes,3,10.92,8,07/06/2006,NA,Customer Operations,E12245,31/12/2014,0,0.69,0.77,0.54,0.77
E10641,Active,Orlando,Analyst,Female,27.68,Acceptable,Acceptable,19,39.74,10.73,39180,7,70,Employee Referral,1,25,2,Single,Bachelors,No,10,5.2,0,21/09/2011,NA,Customer Operations,E5654,31/12/2014,0,0.66,0.71,0.71,0.74
E10647,Inactive,Orlando,Specialist,Female,28.37,Acceptable,Above Average,8,37.18,2.17,66984,5,75,Company Website,2,16,5,Single,Bachelors,Yes,28,6.8,4,14/10/2009,01/09/2014,Customer Operations,E3938,31/12/2014,1,0.343,0.78,0.11,0.84
E10662,Active,New York,Analyst,Male,28.5,Acceptable,Acceptable,13,37.6,1.85,50640,11,70,Consultant,0,21,3,Single,Bachelors,No,4,9.4,3,22/06/2011,NA,Customer Operations,E5892,31/12/2014,0,0.85,0.88,0.79,0.82
E10677,Active,Orlando,Analyst,Male,32.35,Above Average,Acceptable,19,39.74,10.73,47736,14,80,Job Boards,8,7,7,Married,Bachelors,No,19,9.8,10,17/11/2010,NA,Customer Operations,E5654,31/12/2014,0,0.66,0.71,0.71,0.74
E10681,Active,Orlando,Specialist,Female,33.67,Acceptable,Above Average,19,32.22,2.08,70740,8,85,Job Boards,1,22,9,Married,Bachelors,Yes,14,13.6,2,16/04/2004,NA,Customer Operations,E12279,31/12/2014,0,0.504,0.68,0.84,0.85
E1069,Inactive,Chicago,Analyst,Female,27.88,Above Average,Acceptable,25,33.94,8.08,58608,10,74,Social Media,1,21,6,Single,Bachelors,No,1,5.1,5,02/03/2012,27/02/2014,Customer Operations,E3034,31/12/2014,1,0.434,0.65,0.75,0.85
E10699,Active,New York,Analyst,Male,29.47,Acceptable,Acceptable,12,37.75,8.1,68124,7,70,Consultant,6,19,5,Single,Bachelors,No,12,8.14,5,11/05/2011,NA,Customer Operations,E1614,31/12/2014,0,0.43,0.57,0.43,0.57
E107,Active,Chicago,Analyst,Male,36.83,Above Average,Above Average,9,31.91,2.09,84060,11,64,Company Website,8,17,4,Single,Bachelors,No,23,15.58,2,07/02/2007,NA,Customer Operations,E1171,31/12/2014,0,0.83,0.9,0.8,0.82
E10701,Inactive,New York,Analyst,Male,28.6,Acceptable,Acceptable,19,38.85,1.9,78336,6,71,Social Media,1,18,7,Single,Bachelors,No,25,11,6,25/06/2008,29/06/2014,Customer Operations,E5530,31/12/2014,1,0.56,0.8,0.8,0.88
E10702,Active,Chicago,Analyst,Female,25.16,Excellent,Below Average,14,41.68,13.2,63264,10,71,Job Fairs,3,24,3,Single,Bachelors,No,1,4.2,9,29/07/2011,NA,Customer Operations,E4306,31/12/2014,0,0.6,0.58,0.59,0.87
E10703,Active,Orlando,Analyst,Male,36.15,Acceptable,Above Average,20,32.7,8.08,62772,10,70,Consultant,9,11,4,Single,Bachelors,No,18,16.92,2,22/06/2011,NA,Customer Operations,E11856,31/12/2014,0,0.69,0.73,0.82,0.67
